,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,open_url,artist_name,title
383,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,audio_features,1TQXIltqoZ5XXyfCbAeSQQ,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/tracks/1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/audio-analysis/1TQXIltqoZ5XXyfCbAeSQQ,197732,4,https://open.spotify.com/track/1TQXIltqoZ5XXyfCbAeSQQ,Novaspace,Dancing With Tears In My Eyes 2004 (Nova Mix (Club Version))
384,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,audio_features,1TQXIltqoZ5XXyfCbAeSQQ,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/tracks/1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/audio-analysis/1TQXIltqoZ5XXyfCbAeSQQ,197732,4,https://open.spotify.com/track/1TQXIltqoZ5XXyfCbAeSQQ,Epitaph,Dancing With Ghosts
385,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,audio_features,1TQXIltqoZ5XXyfCbAeSQQ,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/tracks/1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/audio-analysis/1TQXIltqoZ5XXyfCbAeSQQ,197732,4,https://open.spotify.com/track/1TQXIltqoZ5XXyfCbAeSQQ,Atman,Dancing With the Goddess (ttt rmx)
386,0.5,0.198,1,-14.065,0,0.0308,0.947,0.847,0.115,0.225,62.926,audio_features,3EkZ1haTIg5HuKPD3oTBsJ,spotify:track:3EkZ1haTIg5HuKPD3oTBsJ,https://api.spotify.com/v1/tracks/3EkZ1haTIg5HuKPD3oTBsJ,https://api.spotify.com/v1/audio-analysis/3EkZ1haTIg5HuKPD3oTBsJ,236500,4,https://open.spotify.com/track/3EkZ1haTIg5HuKPD3oTBsJ,Earth,Endless Winter
387,0.74,0.843,6,-3.877,1,0.376,0.267,0.0,0.102,0.868,90.232,audio_features,5vmZaPaRHzpvaAclGZbsgB,spotify:track:5vmZaPaRHzpvaAclGZbsgB,https://api.spotify.com/v1/tracks/5vmZaPaRHzpvaAclGZbsgB,https://api.spotify.com/v1/audio-analysis/5vmZaPaRHzpvaAclGZbsgB,181227,4,https://open.spotify.com/track/5vmZaPaRHzpvaAclGZbsgB,MIMS,Cop It
388,0.417,0.706,6,-4.652,0,0.0945,0.00933,0.000572,0.474,0.512,127.884,audio_features,7yoBjKO6cCnK3zV8gr1k4e,spotify:track:7yoBjKO6cCnK3zV8gr1k4e,https://api.spotify.com/v1/tracks/7yoBjKO6cCnK3zV8gr1k4e,https://api.spotify.com/v1/audio-analysis/7yoBjKO6cCnK3zV8gr1k4e,242560,4,https://open.spotify.com/track/7yoBjKO6cCnK3zV8gr1k4e,FIR,Lydia [Piano Version]
389,0.261,0.0257,1,-25.711,1,0.0406,0.956,0.878,0.111,0.0795,72.323,audio_features,6nx6oC4HgnZOxC4dgsPiIU,spotify:track:6nx6oC4HgnZOxC4dgsPiIU,https://api.spotify.com/v1/tracks/6nx6oC4HgnZOxC4dgsPiIU,https://api.spotify.com/v1/audio-analysis/6nx6oC4HgnZOxC4dgsPiIU,158424,5,https://open.spotify.com/track/6nx6oC4HgnZOxC4dgsPiIU,Desert Dwellers,Falling Stars
390,0.554,0.606,7,-5.74,1,0.0256,0.152,7.67e-06,0.282,0.599,93.991,audio_features,5wIYMYa6syn9xxL3i0mVx9,spotify:track:5wIYMYa6syn9xxL3i0mVx9,https://api.spotify.com/v1/tracks/5wIYMYa6syn9xxL3i0mVx9,https://api.spotify.com/v1/audio-analysis/5wIYMYa6syn9xxL3i0mVx9,220768,4,https://open.spotify.com/track/5wIYMYa6syn9xxL3i0mVx9,Hollowtip,Superstar (feat. J-Noxx)
391,0.689,0.453,3,-17.83,0,0.0335,0.72,0.634,0.109,0.668,116.003,audio_features,1UbfKuIjG38PR3MpjVsbyX,spotify:track:1UbfKuIjG38PR3MpjVsbyX,https://api.spotify.com/v1/tracks/1UbfKuIjG38PR3MpjVsbyX,https://api.spotify.com/v1/audio-analysis/1UbfKuIjG38PR3MpjVsbyX,177136,4,https://open.spotify.com/track/1UbfKuIjG38PR3MpjVsbyX,Klimperei,Danser seule 2
392,0.636,0.405,8,-11.113,1,0.0287,0.355,0.0,0.0804,0.257,128.068,audio_features,17CPezzLWzvGfpZW6X8XT0,spotify:track:17CPezzLWzvGfpZW6X8XT0,https://api.spotify.com/v1/tracks/17CPezzLWzvGfpZW6X8XT0,https://api.spotify.com/v1/audio-analysis/17CPezzLWzvGfpZW6X8XT0,241067,4,https://open.spotify.com/track/17CPezzLWzvGfpZW6X8XT0,Lionel Richie,Tonight Will Be Alright
393,0.495,0.612,2,-6.57,1,0.0303,0.41,0.0,0.0974,0.366,148.083,audio_features,0tuEEuDijBNJxcLSIrMNsU,spotify:track:0tuEEuDijBNJxcLSIrMNsU,https://api.spotify.com/v1/tracks/0tuEEuDijBNJxcLSIrMNsU,https://api.spotify.com/v1/audio-analysis/0tuEEuDijBNJxcLSIrMNsU,212907,4,https://open.spotify.com/track/0tuEEuDijBNJxcLSIrMNsU,Buddy Jewell,Sweet Southern Comfort
394,0.235,0.867,9,-6.408,0,0.0647,0.000133,0.000938,0.0758,0.305,142.939,audio_features,6aY8pSRwrJ9IjPAzr0dd0S,spotify:track:6aY8pSRwrJ9IjPAzr0dd0S,https://api.spotify.com/v1/tracks/6aY8pSRwrJ9IjPAzr0dd0S,https://api.spotify.com/v1/audio-analysis/6aY8pSRwrJ9IjPAzr0dd0S,337307,3,https://open.spotify.com/track/6aY8pSRwrJ9IjPAzr0dd0S,Moonspell,Alma Mater
395,0.546,0.838,7,-3.51,1,0.0319,0.27,1.24e-05,0.0841,0.719,151.914,audio_features,24Nt4OalWDICkEKVy81X6k,spotify:track:24Nt4OalWDICkEKVy81X6k,https://api.spotify.com/v1/tracks/24Nt4OalWDICkEKVy81X6k,https://api.spotify.com/v1/audio-analysis/24Nt4OalWDICkEKVy81X6k,196907,4,https://open.spotify.com/track/24Nt4OalWDICkEKVy81X6k,Syl Johnson,Diamond In The Rough
396,0.408,0.0885,0,-25.472,1,0.0465,0.995,0.897,0.096,0.0532,94.383,audio_features,1huDZ3dkl2N9048CwIOat9,spotify:track:1huDZ3dkl2N9048CwIOat9,https://api.spotify.com/v1/tracks/1huDZ3dkl2N9048CwIOat9,https://api.spotify.com/v1/audio-analysis/1huDZ3dkl2N9048CwIOat9,262467,4,https://open.spotify.com/track/1huDZ3dkl2N9048CwIOat9,Suzanne Ciani,Mozart
397,0.557,0.306,3,-20.013,1,0.0339,0.585,0.000377,0.054,0.474,73.143,audio_features,1CZR9j4cF4r2uuCpiMdsX5,spotify:track:1CZR9j4cF4r2uuCpiMdsX5,https://api.spotify.com/v1/tracks/1CZR9j4cF4r2uuCpiMdsX5,https://api.spotify.com/v1/audio-analysis/1CZR9j4cF4r2uuCpiMdsX5,209768,4,https://open.spotify.com/track/1CZR9j4cF4r2uuCpiMdsX5,The Elders,Fire in the Hole
398,0.388,0.286,0,-13.287,1,0.0347,0.781,0.0,0.0647,0.26,200.733,audio_features,2fNx5nTZGjniOMT5FMcTyE,spotify:track:2fNx5nTZGjniOMT5FMcTyE,https://api.spotify.com/v1/tracks/2fNx5nTZGjniOMT5FMcTyE,https://api.spotify.com/v1/audio-analysis/2fNx5nTZGjniOMT5FMcTyE,217827,4,https://open.spotify.com/track/2fNx5nTZGjniOMT5FMcTyE,Antonio Koudele,Track BALLERINA GIRL
399,0.831,0.789,0,-5.498,1,0.0661,0.121,0.0,0.328,0.827,101.035,audio_features,2oeyvFG0mFFDHUxhPVObNk,spotify:track:2oeyvFG0mFFDHUxhPVObNk,https://api.spotify.com/v1/tracks/2oeyvFG0mFFDHUxhPVObNk,https://api.spotify.com/v1/audio-analysis/2oeyvFG0mFFDHUxhPVObNk,173867,4,https://open.spotify.com/track/2oeyvFG0mFFDHUxhPVObNk,Tito Allen,A Veces Hablo De Ti
400,0.364,0.787,4,-12.46,0,0.0437,0.347,0.649,0.113,0.831,88.046,audio_features,3toxxSU3TcvzgmeR8LLUiX,spotify:track:3toxxSU3TcvzgmeR8LLUiX,https://api.spotify.com/v1/tracks/3toxxSU3TcvzgmeR8LLUiX,https://api.spotify.com/v1/audio-analysis/3toxxSU3TcvzgmeR8LLUiX,563400,4,https://open.spotify.com/track/3toxxSU3TcvzgmeR8LLUiX,The Grease Band,Willie And The Pig
401,0.799,0.65,9,-6.947,0,0.0354,0.227,0.121,0.149,0.761,110.016,audio_features,2fvzuOmOYZJWSXFur49qQn,spotify:track:2fvzuOmOYZJWSXFur49qQn,https://api.spotify.com/v1/tracks/2fvzuOmOYZJWSXFur49qQn,https://api.spotify.com/v1/audio-analysis/2fvzuOmOYZJWSXFur49qQn,262080,4,https://open.spotify.com/track/2fvzuOmOYZJWSXFur49qQn,String Trio Of New York,Ju Ju
402,0.532,0.854,1,-4.766,1,0.0886,0.0419,0.0,0.122,0.533,154.374,audio_features,1SVbYemhVlCGnpxUF3gyLH,spotify:track:1SVbYemhVlCGnpxUF3gyLH,https://api.spotify.com/v1/tracks/1SVbYemhVlCGnpxUF3gyLH,https://api.spotify.com/v1/audio-analysis/1SVbYemhVlCGnpxUF3gyLH,232133,4,https://open.spotify.com/track/1SVbYemhVlCGnpxUF3gyLH,California Oranges,Travel Writer
403,0.692,0.728,0,-8.102,1,0.0345,0.223,0.0,0.117,0.809,99.701,audio_features,1UXs2oiBCl6DXTfo5uQOBe,spotify:track:1UXs2oiBCl6DXTfo5uQOBe,https://api.spotify.com/v1/tracks/1UXs2oiBCl6DXTfo5uQOBe,https://api.spotify.com/v1/audio-analysis/1UXs2oiBCl6DXTfo5uQOBe,199747,4,https://open.spotify.com/track/1UXs2oiBCl6DXTfo5uQOBe,GG Allin,Outskirts Of Life
